"";"taxon";"type";"X1";"X2";"X3";"X4"
"1";"other";"signal";0,0869565217391304;0,260869565217391;0,434782608695652;0,217391304347826
"2";"other";"signal";0,0869565217391304;0,260869565217391;0,434782608695652;0,217391304347826
"3";"other";"signal";0,0869565217391304;0,217391304347826;0,478260869565217;0,217391304347826
"4";"other";"signal";0,130434782608696;0,260869565217391;0,434782608695652;0,173913043478261
"5";"other";"signal";0,130434782608696;0,260869565217391;0,434782608695652;0,173913043478261
"6";"other";"signal";0,0357142857142857;0,357142857142857;0,428571428571429;0,178571428571429
"7";"other";"signal";0,0357142857142857;0,392857142857143;0,428571428571429;0,142857142857143
"8";"other";"signal";0,1;0,3;0,55;0,05
"9";"other";"signal";0,1;0,3;0,55;0,05
"10";"other";"signal";0,225806451612903;0,161290322580645;0,483870967741935;0,129032258064516
"11";"other";"signal";0,08;0,24;0,28;0,4
"12";"other";"signal";0,0588235294117647;0,235294117647059;0,588235294117647;0,117647058823529
"13";"other";"signal";0;0,347826086956522;0,478260869565217;0,173913043478261
"14";"other";"signal";0,227272727272727;0,227272727272727;0,5;0,0454545454545455
"15";"other";"signal";0,0384615384615385;0,346153846153846;0,461538461538462;0,153846153846154
"16";"other";"signal";0,0625;0,1875;0,4375;0,3125
"17";"other";"signal";0,0909090909090909;0,181818181818182;0,454545454545455;0,272727272727273
"18";"other";"signal";0,15;0,2;0,55;0,1
"19";"other";"signal";0,107142857142857;0,392857142857143;0,357142857142857;0,142857142857143
"20";"other";"signal";0,121212121212121;0,393939393939394;0,363636363636364;0,121212121212121
"21";"other";"signal";0,0526315789473684;0,315789473684211;0,526315789473684;0,105263157894737
"22";"other";"signal";0,125;0,125;0,625;0,125
"23";"other";"signal";0,176470588235294;0,176470588235294;0,529411764705882;0,117647058823529
"24";"other";"signal";0,15;0,25;0,6;0
"25";"other";"signal";0,0588235294117647;0,352941176470588;0,529411764705882;0,0588235294117647
"26";"other";"signal";0,153846153846154;0,269230769230769;0,423076923076923;0,153846153846154
"27";"other";"signal";0,1;0,25;0,45;0,2
"28";"other";"signal";0,0952380952380952;0,142857142857143;0,428571428571429;0,333333333333333
"29";"other";"signal";0,1;0,25;0,45;0,2
"30";"other";"signal";0,157894736842105;0,210526315789474;0,473684210526316;0,157894736842105
"31";"other";"signal";0,1;0,3;0,55;0,05
"32";"other";"signal";0,1;0,3;0,55;0,05
"33";"other";"signal";0,1;0,3;0,55;0,05
"34";"other";"signal";0,15;0,25;0,55;0,05
"35";"other";"signal";0,1;0,3;0,55;0,05
"36";"other";"signal";0,1;0,3;0,55;0,05
"37";"other";"signal";0,1;0,3;0,55;0,05
"38";"other";"signal";0,1;0,3;0,55;0,05
"39";"other";"signal";0,1;0,3;0,55;0,05
"40";"other";"signal";0,1;0,3;0,55;0,05
"41";"other";"signal";0,1;0,3;0,55;0,05
"42";"other";"signal";0,1;0,3;0,55;0,05
"43";"other";"signal";0,15;0,25;0,55;0,05
"44";"other";"signal";0,1;0,3;0,55;0,05
"45";"other";"signal";0,1;0,3;0,55;0,05
"46";"other";"signal";0,1;0,3;0,55;0,05
"47";"other";"signal";0,1;0,3;0,55;0,05
"48";"other";"signal";0,1;0,3;0,55;0,05
"49";"other";"signal";0,1;0,3;0,55;0,05
"50";"other";"signal";0,1;0,3;0,55;0,05
"51";"other";"signal";0,1;0,3;0,55;0,05
"52";"other";"signal";0,1;0,3;0,55;0,05
"53";"other";"signal";0,1;0,3;0,55;0,05
"54";"other";"signal";0,1;0,3;0,55;0,05
"55";"other";"signal";0,1;0,3;0,55;0,05
"56";"other";"signal";0,1;0,3;0,55;0,05
"57";"other";"signal";0,1;0,3;0,55;0,05
"58";"other";"signal";0,1;0,3;0,55;0,05
"59";"other";"signal";0,15;0,25;0,55;0,05
"60";"other";"signal";0,15;0,25;0,55;0,05
"61";"other";"signal";0,15;0,25;0,55;0,05
"62";"other";"signal";0,15;0,25;0,55;0,05
"63";"other";"signal";0,1;0,3;0,55;0,05
"64";"other";"signal";0,15;0,25;0,55;0,05
"65";"other";"signal";0,1;0,3;0,55;0,05
"66";"other";"signal";0,15;0,25;0,55;0,05
"67";"other";"signal";0,1;0,3;0,55;0,05
"68";"other";"signal";0,1;0,3;0,55;0,05
"69";"other";"signal";0,1;0,3;0,55;0,05
"70";"other";"signal";0,1;0,3;0,55;0,05
"71";"other";"signal";0,1;0,3;0,55;0,05
"72";"other";"signal";0,1;0,3;0,55;0,05
"73";"other";"signal";0,1;0,3;0,55;0,05
"74";"other";"signal";0,1;0,3;0,55;0,05
"75";"other";"signal";0,1;0,3;0,55;0,05
"76";"other";"signal";0,1;0,3;0,55;0,05
"77";"other";"signal";0,1;0,3;0,55;0,05
"78";"other";"signal";0,1;0,3;0,55;0,05
"79";"other";"signal";0,1;0,3;0,55;0,05
"80";"other";"signal";0,1;0,3;0,55;0,05
"81";"other";"signal";0,1;0,3;0,55;0,05
"82";"other";"signal";0,1;0,3;0,55;0,05
"83";"other";"signal";0,1;0,3;0,55;0,05
"84";"other";"signal";0,1;0,3;0,55;0,05
"85";"other";"signal";0,1;0,3;0,55;0,05
"86";"other";"signal";0,1;0,25;0,55;0,1
"87";"other";"signal";0,1;0,3;0,55;0,05
"88";"other";"signal";0,1;0,3;0,55;0,05
"89";"other";"signal";0,1;0,3;0,55;0,05
"90";"other";"signal";0,15;0,2;0,55;0,1
"91";"other";"signal";0,1;0,3;0,55;0,05
"92";"other";"signal";0,15;0,25;0,55;0,05
"93";"other";"signal";0,15;0,25;0,55;0,05
"94";"other";"signal";0,1;0,3;0,55;0,05
"95";"other";"signal";0,15;0,25;0,55;0,05
"96";"other";"signal";0,15;0,25;0,55;0,05
"97";"other";"signal";0,15;0,25;0,55;0,05
"98";"other";"signal";0,15;0,25;0,55;0,05
"99";"other";"signal";0,15;0,25;0,55;0,05
"100";"other";"signal";0,210526315789474;0,210526315789474;0,368421052631579;0,210526315789474
"101";"other";"signal";0,04;0,36;0,48;0,12
"102";"other";"signal";0;0,380952380952381;0,523809523809524;0,0952380952380952
"103";"other";"signal";0,0869565217391304;0,304347826086957;0,521739130434783;0,0869565217391304
"104";"other";"signal";0,0869565217391304;0,304347826086957;0,478260869565217;0,130434782608696
"105";"other";"signal";0,0434782608695652;0,260869565217391;0,478260869565217;0,217391304347826
"106";"other";"signal";0,0434782608695652;0,347826086956522;0,434782608695652;0,173913043478261
"107";"other";"signal";0;0,347826086956522;0,434782608695652;0,217391304347826
"108";"other";"signal";0,0666666666666667;0,133333333333333;0,466666666666667;0,333333333333333
"109";"other";"signal";0;0,4;0,45;0,15
"110";"other";"signal";0,0434782608695652;0,260869565217391;0,391304347826087;0,304347826086957
"111";"other";"signal";0,05;0,3;0,6;0,05
"112";"other";"signal";0,0434782608695652;0,260869565217391;0,391304347826087;0,304347826086957
"113";"other";"signal";0,1;0,3;0,45;0,15
"114";"other";"signal";0,260869565217391;0,173913043478261;0,478260869565217;0,0869565217391304
"115";"other";"signal";0,0476190476190476;0,238095238095238;0,476190476190476;0,238095238095238
"116";"other";"signal";0,205882352941176;0,382352941176471;0,323529411764706;0,0882352941176471
"117";"other";"signal";0,0769230769230769;0,346153846153846;0,423076923076923;0,153846153846154
"118";"other";"signal";0,111111111111111;0,166666666666667;0,611111111111111;0,111111111111111
"119";"other";"signal";0,137931034482759;0,172413793103448;0,655172413793103;0,0344827586206897
"120";"other";"signal";0,0555555555555556;0,0555555555555556;0,555555555555556;0,333333333333333
"121";"other";"signal";0,0625;0,125;0,625;0,1875
"122";"other";"signal";0,125;0,25;0,416666666666667;0,208333333333333
"123";"other";"signal";0,125;0,25;0,416666666666667;0,208333333333333
"124";"other";"signal";0,125;0,291666666666667;0,416666666666667;0,166666666666667
"125";"other";"signal";0,0625;0,3125;0,375;0,25
"126";"other";"signal";0,176470588235294;0,235294117647059;0,352941176470588;0,235294117647059
"127";"other";"signal";0,2;0,24;0,36;0,2
"128";"other";"signal";0,111111111111111;0,333333333333333;0,444444444444444;0,111111111111111
"129";"other";"signal";0,03125;0,40625;0,5;0,0625
"130";"other";"signal";0,217391304347826;0,173913043478261;0,521739130434783;0,0869565217391304
"131";"other";"signal";0,0740740740740741;0,407407407407407;0,444444444444444;0,0740740740740741
"132";"other";"signal";0,15625;0,375;0,34375;0,125
"133";"other";"signal";0,2;0,2;0,466666666666667;0,133333333333333
